"case","row_distance","reference_quantile"
414,2.45519867522505,0.746707570374385
415,0.782805586973877,0.7481119589726
416,0.299388349256445,0.749516015612093
417,3.19799596209698,0.750919742916779
418,4.19933892627851,0.752323143497199
419,1.95971886018274,0.753726219950621
420,0.223927301295068,0.755128974861162
421,0.61706571779264,0.756531410799889
422,3.34185395497072,0.757933530324931
423,2.77181515085321,0.759335335981586
424,2.30486561326936,0.760736830302425
425,2.67510023436029,0.762138015807398
426,1.89469957828317,0.763538895003939
427,2.38734789088401,0.764939470387067
428,1.19604695683455,0.766339744439489
429,0.499729324983651,0.767739719631699
430,3.73425090512759,0.76913939842208
431,0.438534722233816,0.770538783256999
432,0.541986271830831,0.771937876570908
433,6.80314482901303,0.773336680786441
434,6.70543191392381,0.774735198314507
435,6.80190441632827,0.776133431554384
436,2.96295994688165,0.777531382893818
437,1.12460468759675,0.77892905470911
438,2.35996572165912,0.780326449365211
439,3.14640762927591,0.781723569215813
440,1.58170477096234,0.783120416603437
441,2.98416463247987,0.784516993859525
442,1.00638217829347,0.785913303304525
443,8.66208743041803,0.787309347247982
444,1.23635444274744,0.788705127988622
445,2.10561699204752,0.790100647814439
446,3.47821248504432,0.791495909002779
447,1.19699704108535,0.792890913820424
448,5.84666188421226,0.794285664523677
449,2.65571248754405,0.795680163358442
450,4.78718112616032,0.797074412560307
451,2.931671315836,0.798468414354624
452,1.24224976974829,0.799862170956591
453,3.11056417503881,0.801255684571328
454,1.09218009424808,0.80264895739396
455,0.50728550607694,0.80404199160969
456,9.01382036236647,0.805434789393878
457,0.697909441859036,0.806827352912118
458,0.906646187876454,0.808219684320314
459,2.34963702335065,0.809611785764753
460,2.35478326882264,0.811003659382179
461,3.92888760170501,0.812395307299869
462,1.19707312204045,0.813786731635702
463,1.03786408541583,0.815177934498237
464,3.10569075611003,0.816568917986776
465,2.51921999499364,0.817959684191441
466,5.16964293026824,0.819350235193244
467,1.93769462916995,0.820740573064152
468,2.21696951080151,0.82213069986716
469,2.5562590036815,0.823520617656357
470,3.69660614065285,0.824910328476993
471,0.0439759685529118,0.826299834365549
472,1.34852355963756,0.827689137349799
473,4.01874085794302,0.829078239448877
474,1.98252438058275,0.830467142673346
475,1.47374571108022,0.831855849025256
476,0.452512323309078,0.833244360498212
477,0.729322815066688,0.834632679077435
478,1.13454427462875,0.836020806739827
479,5.92821476368969,0.837408745454033
480,3.06238859111357,0.838796497180498
481,1.78629709549184,0.840184063871535
482,0.361082245487875,0.841571447471378
483,5.34634972640712,0.84295864991625
484,8.38138649591664,0.844345673134415
485,0.925644282088009,0.845732519046241
486,3.81104500781251,0.847119189564256
487,4.00278396640059,0.848505686593209
488,3.35159862054119,0.849892012030123
489,0.790081931828989,0.851278167764354
490,8.76935841001841,0.85266415567765
491,4.60020922071431,0.854049977644199
492,0.852526402952402,0.855435635530694
493,3.79531926476898,0.85682113119638
494,2.11564040794348,0.858206466493111
495,1.54722965503626,0.859591643265405
496,3.31712183265711,0.860976663350497
497,0.704330627281924,0.862361528578388
498,0.736758611051864,0.863746240771904
499,4.07198073640526,0.865130801746743
500,23.1709636438535,0.866515213311527
